Incident.year,Latitude,Longitude,Victim.injury,Species.clean,Activity.clean,State,Location,Provoked.unprovoked,Decade
1916,-19.23333333,146.8166667,fatal,Tiger Shark,Swimming,QLD,"townsville, strand beach",unprovoked,1910
1916,-20.0,119.3666667,injured,Tiger Shark,Snorkelling,WA,condon creek - port headland (area),provoked,1910
1916,-20.0,119.3333333,fatal,Tiger Shark,Snorkelling,WA,condon creek - broome (area),provoked,1910
1916,-33.78333333,151.2166667,fatal,Bull Shark,Standing in Water,NSW,"sugarloaf point, sydney harbour,",unprovoked,1910
1916,-23.11666667,150.75,fatal,Tiger Shark,Swimming,QLD,yeppoon (mens beach),unprovoked,1910
1917,-27.23333333,153.2166667,injured,Whaler Shark,Fishing,QLD,moreton bay,provoked,1910
1917,-20.3,118.5833333,injured,Tiger Shark,Swimming,WA,port headland,unprovoked,1910
1918,-32.66666667,152.15,injured,Wobbegong,Fishing,NSW,"port stephens, tea gardens",provoked,1910
1918,-32.91666667,151.7833333,injured,White Shark,Swimming,NSW,newcastle beach,unprovoked,1910
1918,-28.15,153.5166667,injured,Wobbegong,Swimming,QLD,"kirra beach, coolangatta",provoked,1910
1918,-28.15,153.1,injured,Tiger Shark,Swimming,NSW,tweed heads,unprovoked,1910
1918,-26.41666667,150.0666667,uninjured,Wobbegong,Diving,NSW,burmagui,provoked,1910
1918,-33.86666667,151.2,uninjured,Bull Shark,Swimming,NSW,"parramatta river, sydney harbour",unprovoked,1910
1918,-19.25,146.8166667,fatal,Tiger Shark,Swimming,QLD,"townsville, strand beach",unprovoked,1910
1918,-16.7,146.05,fatal,Tiger Shark,Snorkelling,QLD,arlington reef (gbr),provoked,1910
1919,-32.91666667,151.7833333,injured,White Shark,Swimming,NSW,newcastle beach,unprovoked,1910
1919,-33.83333333,151.2333333,fatal,Bull Shark,Swimming,NSW,"sirius cove, sydney harbour",unprovoked,1910
1919,-19.45,146.6,fatal,Bull Shark,Swimming,QLD,"townsville, ross creek",unprovoked,1910
1919,-27.08333333,153.45,injured,Wobbegong,Swimming,QLD,bribie island,provoked,1910
1919,-30.91666667,153.0166667,fatal,Bull Shark,Swimming,NSW,"macleay river, pelican island",unprovoked,1910
1920,-32.9,151.75,fatal,Bull Shark,Swimming,NSW,throsby creek. newcastle,unprovoked,1920
1920,-33.33333333,151.5,uninjured,Wobbegong,Spearfishing,NSW,tuggerah lake entrance,provoked,1920
1920,-19.25,146.8166667,injured,Tiger Shark,Swimming,QLD,"townsville, cleveland bay",unprovoked,1920
1920,-20.9,151.7166667,injured,Tiger Shark,Snorkelling,QLD,mackay (320km east),provoked,1920
1920,-32.2,152.55,injured,Wobbegong,Snorkelling,NSW,cape halke,provoked,1920
1920,-35.01666667,117.3333333,injured,Wobbegong,Standing in Water,WA,"ocean beach, demark",unprovoked,1920
1920,-31.98333333,115.7333333,injured,Wobbegong,Standing in Water,WA,"cottesloe beach, perth",unprovoked,1920
1920,-14.5,144.9166667,injured,Unknown,Fishing,QLD,howick island,provoked,1920
1920,-28.8,153.2666667,injured,Bull Shark,Swimming,NSW,lismore - wilsons river,unprovoked,1920
1921,-18.23333333,146.65,injured,Tiger Shark,Snorkelling,QLD,hinchinbrook island,provoked,1920
1921,-16.9,146.2333333,fatal,Tiger Shark,Swimming,QLD,"cairns, elford reef (26 miles east)",unprovoked,1920
1921,-27.43333333,153.15,fatal,Bull Shark,Swimming,QLD,"brisbane river, bulimba beach ",unprovoked,1920
1921,-27.43333333,153.15,injured,Bull Shark,Swimming,QLD,"brisbane river, bulimba beach ",unprovoked,1920
1921,-23.38333333,150.55,injured,Bull Shark,Swimming,QLD,fitzroy river,unprovoked,1920
1922,-32.85,151.8333333,injured,White Shark,Swimming,NSW,"stockton beach, newcastle",unprovoked,1920
1922,-19.45,146.6,fatal,Bull Shark,Swimming,QLD,"townsville, ross creek",unprovoked,1920
1922,-33.91666667,151.25,fatal,White Shark,Swimming,NSW,"coogee beach, sydney",unprovoked,1920
1922,-33.91666667,151.25,fatal,White Shark,Swimming,NSW,"coogee beach, sydney",unprovoked,1920
1922,-25.53333333,152.7,fatal,Tiger Shark,Swimming,QLD,"maryborough, pialba beach",unprovoked,1920
1923,-31.96666667,115.7666667,fatal,Bull Shark,Swimming,WA,"swan river, claremont",unprovoked,1920
1923,-32.93333333,151.75,uninjured,White Shark,Swimming,NSW,"merewether beach, newcastle",provoked,1920
1923,-19.23333333,146.8166667,injured,Bull Shark,Swimming,QLD,"townsville, ross creek",unprovoked,1920
1923,-16.85,146.15,fatal,Tiger Shark,Snorkelling,QLD,great barrier reef (townsville area),provoked,1920
1923,-28.81666667,114.6166667,injured,Wobbegong,Fishing,WA,"geraldton, southgate",provoked,1920
1923,-18.7,147.7666667,injured,Tiger Shark,Snorkelling,QLD,townsville area (gbr),provoked,1920
1923,-34.35,150.9166667,fatal,White Shark,Swimming,NSW,"bellambi, wollongong",unprovoked,1920
1923,-10.56666667,142.2166667,injured,Tiger Shark,Snorkelling,QLD,"thursday island, torre strait",provoked,1920
1923,-20.0,119.35,fatal,Tiger Shark,,WA,condon creek - broome (area),provoked,1920
1923,-20.0,119.35,fatal,Tiger Shark,,WA,condon creek - broome (area),provoked,1920
1923,-28.31666667,153.4,injured,Bull Shark,Swimming,NSW,"tweed river, murwillumbah",unprovoked,1920
1924,-33.8,151.0166667,fatal,Bull Shark,Swimming,NSW,"parramatta river, camella, sydney",unprovoked,1920
1924,-33.31666667,115.6333333,injured,Wobbegong,Swimming,WA,bunbury,unprovoked,1920
1924,-33.9,151.2666667,injured,White Shark,Swimming,NSW,"bronte beach, sydney",unprovoked,1920
1924,-34.66666667,150.85,fatal,White Shark,Swimming,NSW,"kiama, wollongong",unprovoked,1920
1924,-37.83333333,144.9333333,injured,White Shark,Swimming,VIC,"town pier, port melbourne",unprovoked,1920
1925,-33.91666667,151.25,injured,White Shark,Swimming,NSW,"coogee beach, sydney",unprovoked,1920
1925,-32.91666667,151.7833333,fatal,White Shark,Swimming,NSW,newcastle beach,unprovoked,1920
1925,-31.98333333,115.75,fatal,Tiger Shark,Swimming,WA,"cottesloe beach, perth",unprovoked,1920
1926,-34.9,137.0,fatal,White Shark,Swimming,SA,"brighton pier, adelaide",unprovoked,1920
1926,-29.45,153.1833333,injured,Bull Shark,Swimming,NSW,"yamba, clarence river, maclean",unprovoked,1920
1926,-10.56666667,142.2166667,injured,Tiger Shark,Snorkelling,QLD,"thursday island, torre strait",provoked,1920
1926,-18.71666667,146.5666667,fatal,Tiger Shark,Snorkelling,QLD,palm island,provoked,1920
